               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.032414,            0.035659,           0.0014793,             0.90287,             0.74604,             0.84871,             0.50888,            0.030149,            0.044562,           0.0013168,           0.0076679,           0.0076679,           0.0076679
                  36,            0.032523,            0.034453,           0.0014372,             0.87584,             0.80421,             0.87156,             0.52465,            0.029489,               0.043,           0.0011376,            0.007543,            0.007543,            0.007543
                  37,            0.031712,            0.033496,           0.0013879,             0.88661,             0.78693,             0.86527,             0.53413,            0.029213,            0.042885,           0.0011454,            0.007416,            0.007416,            0.007416
                  38,             0.03186,            0.033106,           0.0013477,             0.89421,             0.78183,             0.86305,             0.53414,            0.029074,            0.043632,           0.0011882,           0.0072872,           0.0072872,           0.0072872
                  39,            0.031723,            0.033026,           0.0013561,             0.87766,             0.81219,             0.87805,             0.53653,            0.029012,            0.042797,           0.0010612,           0.0071566,           0.0071566,           0.0071566
                  40,            0.031553,            0.033063,           0.0013981,             0.85776,             0.81508,             0.87426,              0.5349,            0.029394,            0.043302,           0.0010718,           0.0070243,           0.0070243,           0.0070243
                  41,            0.030791,            0.030061,           0.0012832,             0.89996,             0.79901,             0.87729,             0.54633,            0.028602,            0.042517,           0.0010978,           0.0068906,           0.0068906,           0.0068906
                  42,            0.031704,            0.036639,           0.0013128,              0.8937,             0.79432,             0.87276,              0.5456,            0.028427,            0.042345,            0.001185,           0.0067555,           0.0067555,           0.0067555
                  43,            0.030374,            0.029364,           0.0012059,              0.9061,             0.79784,             0.88336,             0.55259,            0.028418,             0.04221,           0.0010447,           0.0066191,           0.0066191,           0.0066191
                  44,            0.030884,            0.032396,           0.0012704,             0.88112,             0.81915,             0.88076,             0.55893,            0.028174,            0.041947,            0.001009,           0.0064816,           0.0064816,           0.0064816
                  45,            0.030653,            0.031485,           0.0013021,             0.89099,             0.81695,             0.88936,             0.56171,            0.027907,            0.041633,          0.00098324,           0.0063432,           0.0063432,           0.0063432
                  46,            0.030288,            0.032292,           0.0011566,             0.90514,             0.81277,             0.88512,             0.55735,            0.027824,            0.040545,          0.00097875,            0.006204,            0.006204,            0.006204
                  47,            0.029907,             0.02974,           0.0011777,             0.90081,             0.81198,             0.88469,             0.55842,            0.028268,             0.04154,          0.00093115,            0.006064,            0.006064,            0.006064
                  48,            0.030758,            0.036804,           0.0012241,             0.89298,             0.82817,             0.88947,             0.56464,            0.027731,            0.040952,          0.00098192,           0.0059235,           0.0059235,           0.0059235
                  49,            0.029586,            0.030255,           0.0011028,             0.90456,             0.81793,             0.89059,             0.56141,            0.027764,            0.041613,          0.00095417,           0.0057826,           0.0057826,           0.0057826
                  50,            0.029625,            0.030979,           0.0010878,             0.91042,             0.81168,             0.88606,             0.55977,             0.02811,            0.041697,           0.0010126,           0.0056413,           0.0056413,           0.0056413
                  51,            0.030207,            0.034231,           0.0012014,             0.89122,             0.81556,             0.88298,             0.56291,            0.027728,            0.041352,           0.0010154,              0.0055,              0.0055,              0.0055
                  52,              0.0297,            0.031204,           0.0010866,             0.89568,             0.82609,              0.8938,             0.56626,             0.02753,            0.041046,           0.0009166,           0.0053587,           0.0053587,           0.0053587
                  53,            0.028752,            0.028671,           0.0010832,             0.90174,             0.81843,             0.89175,             0.57247,            0.027206,            0.040034,          0.00088749,           0.0052174,           0.0052174,           0.0052174
                  54,            0.029139,            0.031108,           0.0010773,             0.91852,             0.80013,             0.88866,             0.57348,            0.027338,            0.040822,          0.00089578,           0.0050765,           0.0050765,           0.0050765
                  55,            0.029192,            0.031919,           0.0010797,              0.8863,             0.83103,             0.89116,             0.57412,            0.027294,             0.04042,          0.00090294,            0.004936,            0.004936,            0.004936
                  56,            0.028733,            0.029585,           0.0010879,             0.91417,             0.82662,             0.89789,             0.58557,            0.026706,            0.039424,          0.00091919,            0.004796,            0.004796,            0.004796
                  57,            0.028476,            0.029207,           0.0010298,             0.90156,             0.83689,             0.89539,             0.58379,            0.026979,            0.040101,          0.00088019,           0.0046568,           0.0046568,           0.0046568
                  58,            0.028558,            0.030152,           0.0010222,             0.90696,             0.81745,             0.89482,             0.58409,            0.026769,             0.04005,          0.00084509,           0.0045184,           0.0045184,           0.0045184
                  59,            0.027935,            0.028075,          0.00099461,             0.91308,              0.8269,             0.90283,             0.58458,            0.027108,            0.040282,          0.00077523,           0.0043809,           0.0043809,           0.0043809
                  60,            0.028729,            0.031877,            0.001025,             0.91289,             0.83457,             0.90036,             0.58733,            0.026637,            0.039611,          0.00081863,           0.0042445,           0.0042445,           0.0042445
                  61,            0.028188,            0.030208,          0.00099225,             0.91021,             0.82715,             0.90056,             0.58242,            0.026827,            0.040297,          0.00082893,           0.0041094,           0.0041094,           0.0041094
                  62,            0.027962,            0.029742,          0.00097699,             0.91317,             0.82742,              0.8987,             0.58891,             0.02671,            0.039783,          0.00085276,           0.0039757,           0.0039757,           0.0039757
                  63,            0.027537,            0.027319,          0.00097455,             0.91481,             0.82863,              0.8986,             0.58953,            0.026599,            0.039908,          0.00085135,           0.0038434,           0.0038434,           0.0038434
                  64,            0.027242,            0.025793,           0.0009364,             0.92096,             0.82857,             0.90151,             0.59054,            0.026455,            0.039722,          0.00078752,           0.0037128,           0.0037128,           0.0037128
                  65,            0.027987,            0.031272,          0.00098169,             0.92444,             0.82773,             0.90315,             0.59643,            0.026415,             0.03946,           0.0008404,            0.003584,            0.003584,            0.003584
                  66,            0.027735,            0.030284,          0.00090129,              0.9215,             0.83346,              0.9037,             0.60105,            0.026375,            0.039177,          0.00078594,            0.003457,            0.003457,            0.003457
                  67,             0.02733,            0.028185,          0.00089595,             0.92133,             0.83137,             0.90439,              0.6016,            0.026282,            0.039305,           0.0007691,           0.0033321,           0.0033321,           0.0033321
                  68,            0.027659,            0.031461,           0.0009397,             0.92147,             0.83242,             0.90459,             0.60117,            0.026024,            0.038645,          0.00077349,           0.0032093,           0.0032093,           0.0032093
                  69,            0.026947,            0.027359,           0.0008951,             0.93198,             0.82612,             0.90771,              0.6052,             0.02608,            0.039035,            0.000774,           0.0030888,           0.0030888,           0.0030888
                  70,            0.026926,            0.028869,          0.00093271,             0.91948,             0.83877,             0.90503,             0.60289,            0.026084,            0.039004,          0.00076105,           0.0029706,           0.0029706,           0.0029706
                  71,            0.026878,             0.02943,          0.00087407,             0.91575,             0.84361,             0.90624,              0.6039,            0.025894,            0.038853,          0.00080656,            0.002855,            0.002855,            0.002855
                  72,            0.026871,            0.028424,          0.00082023,             0.90864,             0.84559,             0.90938,             0.60561,            0.025783,            0.038579,          0.00075314,           0.0027419,           0.0027419,           0.0027419
                  73,            0.026646,            0.028057,          0.00083471,             0.91875,             0.84379,              0.9062,             0.61024,            0.025832,            0.038694,          0.00074743,           0.0026316,           0.0026316,           0.0026316
                  74,            0.026953,            0.029098,          0.00084123,             0.91712,             0.83713,             0.90521,             0.60528,            0.025773,            0.038514,          0.00074359,           0.0025241,           0.0025241,           0.0025241
                  75,            0.026422,            0.027083,            0.000854,             0.91423,             0.84504,             0.91021,             0.60984,             0.02583,            0.038436,          0.00072615,           0.0024195,           0.0024195,           0.0024195
                  76,            0.026753,            0.029472,          0.00091676,             0.91323,             0.84867,             0.90991,             0.61308,            0.025607,            0.038275,          0.00070153,            0.002318,            0.002318,            0.002318
                  77,            0.026714,            0.030342,          0.00083141,             0.93412,             0.83462,             0.91126,             0.60641,            0.025766,            0.038474,          0.00072311,           0.0022196,           0.0022196,           0.0022196
                  78,            0.026449,            0.028937,           0.0008566,             0.91593,             0.83986,             0.90492,             0.60646,            0.025642,            0.038307,          0.00070349,           0.0021245,           0.0021245,           0.0021245
                  79,            0.025953,            0.026786,          0.00078006,             0.91887,             0.85084,             0.90962,             0.61081,            0.025578,            0.038348,          0.00068999,           0.0020327,           0.0020327,           0.0020327
                  80,             0.02583,            0.027115,          0.00080358,             0.92672,             0.84045,             0.90994,             0.61467,            0.025548,            0.038255,          0.00073518,           0.0019443,           0.0019443,           0.0019443
                  81,            0.025766,            0.025731,          0.00074556,             0.91199,             0.84768,             0.90847,             0.60988,            0.025739,            0.038764,          0.00069171,           0.0018594,           0.0018594,           0.0018594
                  82,            0.025625,            0.027002,           0.0007265,             0.91498,               0.854,             0.91074,             0.61565,             0.02542,            0.038178,          0.00067005,           0.0017781,           0.0017781,           0.0017781
                  83,             0.02603,            0.028134,           0.0007972,              0.9281,              0.8435,             0.90877,             0.61703,            0.025303,            0.038162,          0.00069783,           0.0017005,           0.0017005,           0.0017005
                  84,            0.025685,             0.02741,          0.00079101,              0.9313,              0.8421,             0.91267,             0.61737,            0.025286,            0.038249,          0.00069033,           0.0016267,           0.0016267,           0.0016267
                  85,            0.026007,            0.028136,          0.00078589,             0.92739,             0.84376,             0.90746,             0.62154,            0.025197,            0.038099,          0.00070534,           0.0015566,           0.0015566,           0.0015566
                  86,            0.025551,            0.027251,          0.00079138,             0.93781,             0.83187,             0.91012,             0.61862,            0.025351,            0.038407,          0.00069955,           0.0014905,           0.0014905,           0.0014905
                  87,            0.025801,            0.028371,          0.00080535,             0.93598,             0.83825,             0.91084,             0.61489,            0.025364,            0.038227,          0.00067703,           0.0014283,           0.0014283,           0.0014283
                  88,            0.025318,            0.026907,          0.00075721,             0.92938,             0.83983,             0.91237,              0.6166,            0.025344,             0.03828,          0.00067604,           0.0013701,           0.0013701,           0.0013701
                  89,             0.02583,             0.02945,          0.00077447,             0.94015,             0.83964,             0.90996,             0.62122,            0.025063,            0.037736,          0.00070493,            0.001316,            0.001316,            0.001316
                  90,            0.025331,            0.027195,          0.00073677,             0.92084,             0.84849,             0.90937,             0.62168,            0.025172,            0.038077,          0.00067971,            0.001266,            0.001266,            0.001266
                  91,            0.025548,            0.027934,          0.00075804,              0.9369,              0.8421,             0.91264,             0.62334,            0.025053,            0.037954,          0.00068458,           0.0012202,           0.0012202,           0.0012202
                  92,            0.025063,            0.024851,          0.00069888,             0.92594,             0.84881,             0.91425,             0.62221,            0.025214,             0.03813,          0.00067795,           0.0011787,           0.0011787,           0.0011787
                  93,            0.024792,            0.024931,          0.00072182,             0.94465,             0.83113,             0.91431,              0.6221,            0.025296,            0.038413,          0.00065914,           0.0011414,           0.0011414,           0.0011414
                  94,            0.024715,            0.024846,           0.0007059,             0.93733,             0.83947,             0.91271,             0.62154,            0.025283,            0.038409,          0.00065736,           0.0011084,           0.0011084,           0.0011084
                  95,            0.024694,            0.024283,           0.0006825,             0.94362,              0.8337,             0.91045,             0.62139,            0.025165,            0.038039,          0.00064159,           0.0010797,           0.0010797,           0.0010797
                  96,            0.024906,            0.024757,          0.00073681,              0.9388,             0.83977,             0.91192,             0.62177,            0.025124,            0.037907,          0.00066436,           0.0010554,           0.0010554,           0.0010554
                  97,            0.025124,            0.027377,          0.00073827,             0.93321,             0.84274,             0.91203,             0.62431,            0.025048,            0.037879,          0.00065941,           0.0010355,           0.0010355,           0.0010355
                  98,            0.025335,            0.027992,          0.00075752,             0.94197,              0.8419,             0.91086,             0.62569,            0.024963,            0.037716,          0.00067186,             0.00102,             0.00102,             0.00102
                  99,            0.025157,            0.027674,          0.00074671,             0.93129,             0.84779,             0.91076,             0.62511,            0.024954,            0.037917,          0.00066976,           0.0010089,           0.0010089,           0.0010089
