               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  30,            0.027197,           0.0078054,          0.00074272,             0.91395,             0.89167,             0.93432,             0.65006,            0.025629,           0.0091859,          0.00061526,           0.0043809,           0.0043809,           0.0043809
                  31,            0.026321,           0.0068491,           0.0006799,             0.94235,             0.87992,             0.93917,             0.65135,            0.025967,           0.0093102,          0.00062973,           0.0041094,           0.0041094,           0.0041094
                  32,            0.026278,           0.0069257,          0.00064224,             0.93533,             0.88994,             0.93978,             0.65858,            0.025101,           0.0090317,          0.00065928,           0.0038434,           0.0038434,           0.0038434
                  33,            0.026668,             0.00785,          0.00072309,             0.91616,             0.89888,             0.94266,             0.66118,            0.025066,           0.0089286,          0.00064563,            0.003584,            0.003584,            0.003584
                  34,            0.026427,           0.0075251,          0.00067791,             0.94863,               0.891,             0.94446,             0.66203,            0.024802,           0.0088927,          0.00060126,           0.0033321,           0.0033321,           0.0033321
                  35,            0.026437,           0.0076734,          0.00065282,             0.93489,             0.90121,             0.94781,             0.66349,            0.024814,           0.0089122,           0.0005493,           0.0030888,           0.0030888,           0.0030888
                  36,            0.026375,           0.0080246,          0.00065269,             0.92985,             0.88863,             0.94478,              0.6661,            0.024586,           0.0087675,          0.00051674,            0.002855,            0.002855,            0.002855
                  37,            0.025495,           0.0069943,          0.00062307,             0.92793,             0.89826,             0.94525,             0.67165,            0.024815,           0.0089225,          0.00053706,           0.0026316,           0.0026316,           0.0026316
                  38,            0.025547,           0.0072822,           0.0006208,             0.92012,             0.90628,             0.94265,             0.67156,            0.024692,           0.0089212,          0.00058202,           0.0024195,           0.0024195,           0.0024195
                  39,            0.025781,           0.0076801,          0.00064837,             0.93629,             0.89309,             0.94373,             0.66985,            0.024516,           0.0088815,          0.00056493,           0.0022196,           0.0022196,           0.0022196
                  40,            0.024883,           0.0069377,          0.00058423,              0.9287,              0.9029,             0.94739,             0.67531,            0.024468,           0.0088831,          0.00055869,           0.0020327,           0.0020327,           0.0020327
                  41,            0.025103,           0.0070137,          0.00061394,             0.94517,             0.89933,             0.94651,             0.67226,            0.024658,           0.0088334,          0.00052429,           0.0018594,           0.0018594,           0.0018594
                  42,            0.025166,           0.0072716,           0.0005728,             0.94917,             0.89465,             0.95113,               0.681,            0.024334,           0.0087998,          0.00052347,           0.0017005,           0.0017005,           0.0017005
                  43,            0.025081,           0.0074203,            0.000591,             0.94043,             0.89346,             0.94813,             0.67724,            0.024264,           0.0087648,          0.00052243,           0.0015566,           0.0015566,           0.0015566
                  44,            0.025696,           0.0083862,          0.00062032,             0.94404,             0.89347,             0.94539,             0.67965,            0.024142,            0.008724,          0.00051258,           0.0014283,           0.0014283,           0.0014283
                  45,            0.024374,           0.0064592,          0.00055392,             0.93292,               0.893,             0.94641,             0.67935,            0.024346,           0.0088709,          0.00057384,            0.001316,            0.001316,            0.001316
                  46,            0.025135,           0.0074122,            0.000613,             0.93652,             0.90204,             0.95082,             0.68176,            0.023853,            0.008601,          0.00055613,           0.0012202,           0.0012202,           0.0012202
                  47,            0.024453,           0.0069529,          0.00054108,             0.94329,             0.89934,             0.94828,             0.68311,            0.024073,           0.0087806,          0.00052447,           0.0011414,           0.0011414,           0.0011414
                  48,            0.024537,           0.0070727,          0.00056425,             0.93992,             0.90608,              0.9535,             0.68436,            0.024017,           0.0087817,          0.00052543,           0.0010797,           0.0010797,           0.0010797
                  49,            0.024267,            0.006828,           0.0005819,             0.94408,             0.89672,             0.95052,             0.67702,            0.024198,           0.0087878,          0.00054584,           0.0010355,           0.0010355,           0.0010355
